id,season,position,positionNumber,sortOrder,championshipPoints,numberOfRaces,teamId,teamName,teamNationality,fomTeamKey,constructorId,constructorName,countryId,countryName,isoCode,teamSeasonName,constructorSeasonName,lastModified
715,2026,1st,1,1,219,,,,,,,,4,Germany,DEU,Mercedes-AMG PETRONAS Formula One Team,Mercedes,2026-05-24T22:02:22.929Z
713,2026,2nd,2,2,147,,,,,,,,14,Italy,ITA,Scuderia Ferrari HP,Ferrari,2026-05-24T22:02:23.089Z
714,2026,3rd,3,3,106,,,,,,,,3,United Kingdom,GBR,McLaren Mastercard F1 Team,McLaren Mercedes,2026-05-24T22:02:22.921Z
716,2026,4th,4,4,57,,,,,,,,18,Austria,AUT,Oracle Red Bull Racing,Red Bull Racing Red Bull Ford,2026-05-24T22:02:23.082Z
710,2026,5th,5,5,35,,,,,,,,8,France,FRA,BWT Alpine Formula One Team,Alpine Mercedes,2026-05-24T22:02:23.647Z
707,2026,6th,6,6,21,,,,,,,,14,Italy,ITA,Visa Cash App Racing Bulls Formula One Team,Racing Bulls Red Bull Ford,2026-05-24T22:02:23.181Z
708,2026,7th,7,7,19,,,,,,,,20,United States,USA,TGR Haas F1 Team,Haas Ferrari,2026-05-24T22:02:23.542Z
712,2026,8th,8,8,7,,,,,,,,3,United Kingdom,GBR,Atlassian Williams F1 Team,Atlassian Williams Mercedes,2026-05-24T22:02:23.176Z
717,2026,9th,9,9,2,,,,,,,,50,Switzerland,CHE,Audi Revolut F1 Team,Audi,2026-05-24T22:02:23.636Z
711,2026,10th,10,10,0,,,,,,,,3,United Kingdom,GBR,Cadillac Formula 1 Team,Cadillac Ferrari,2026-05-24T22:02:23.751Z
709,2026,11th,11,11,0,,,,,,,,3,United Kingdom,GBR,Aston Martin Aramco Formula One Team,Aston Martin Aramco Honda,2026-05-24T22:02:23.536Z
